Account,mean_daily_pnl,std_daily_pnl,mean_trades,mean_win_rate,mean_trade_size,mean_long_ratio,mean_risk_proxy,sentiment_value_mean,cluster,archetype
0x083384f897ee0f19899168e3b1bec365f52a9012,56190.174633434784,144533.65587685033,164.65217391304347,0.3241734484438123,34094.20926289346,0.4700937391787898,4196.960441915761,59.21739130434783,1,Conservative/Flat Traders
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,914.5385675490196,3638.6020350458857,137.84313725490196,0.3985677629817845,4429.327502212271,0.43224267907227437,1214.8464326632661,53.21568627450981,2,Conservative/Flat Traders
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,822.657707658385,3001.952575404542,82.66459627329192,0.44910824810536887,487.015252510754,0.4988138471948539,140.7848841815315,56.32919254658385,2,Conservative/Flat Traders
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-743.7676184761905,10232.128931416673,17.666666666666668,0.24874388889397328,1631.9824707210512,0.2590775005140672,645.3897767095963,54.833333333333336,2,Conservative/Flat Traders
0x39cef799f8b69da1995852eea189df24eb5cae3c,318.4053565777778,14751.279899226998,79.73333333333333,0.35056399066899085,10044.868175972599,0.4389431990587432,4321.829383793599,54.4,2,Conservative/Flat Traders
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,1981.3424904814817,5872.083974606063,12.25925925925926,0.4738215488215488,10175.9165536275,0.4812049062049062,3707.088953211551,65.22222222222223,2,Conservative/Flat Traders
0x420ab45e0bd8863569a5efbb9c05d91f40624641,10041.295181368421,21365.140224832332,19.57894736842105,0.39995685936151854,8562.778982404161,0.3848025943887418,3195.124347056083,57.10526315789474,2,Conservative/Flat Traders
0x430f09841d65beb3f27765503d0f850b8bce7713,15427.47675337037,33215.86288136249,43.81481481481482,0.2101752289924333,2521.1600921933154,0.19723217841497412,279.37284161957746,48.03703703703704,2,Conservative/Flat Traders
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,722.4218941048952,2492.3180147692624,59.52447552447553,0.36545626904231915,518.1661971656489,0.49559307127571944,69.3033326807409,54.58741258741259,2,Conservative/Flat Traders
0x4f93fead39b70a1824f981a54d4e55b278e9f760,961.734759725,7441.87838292789,23.65625,0.3005924574133122,16043.660355908145,0.5885771584711275,6288.7687395070825,59.73125,2,Conservative/Flat Traders
0x513b8629fe877bb581bf244e326a047b249c4ff1,20523.111851105263,42241.48824270728,313.3421052631579,0.3151837807147547,27732.54508885814,0.6271262880721933,2757.6836320390094,44.68421052631579,1,Conservative/Flat Traders
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2362.7676893913044,7544.8446428169655,21.043478260869566,0.3361064718606696,846.5640957124551,0.47845234244239027,387.6393834929763,50.78260869565217,2,Conservative/Flat Traders
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,6339.348371676923,23773.943893395146,21.73846153846154,0.22260697351467307,4889.196495991371,0.3811518111518112,457.4576465396195,55.75,2,Conservative/Flat Traders
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2609.423723682759,4776.329362964988,68.0,0.7108308554515865,3370.084833995935,0.47744510641174154,1293.6838885796064,61.66206896551724,2,Conservative/Flat Traders
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,449.6959673157895,660.6682635199556,6.473684210526316,0.429374718848403,5877.855817121475,0.5179937022042286,534.941061680474,64.10526315789474,2,Conservative/Flat Traders
0x8170715b3b381dffb7062c0298972d4727a0a63b,-1840.8975905494506,38401.23651820728,50.42857142857143,0.3238012856338752,2804.821793050618,0.3730490083939479,167.19363824470074,45.69230769230769,2,Conservative/Flat Traders
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,1233.974747943396,5561.908189854169,36.0377358490566,0.1735704787271643,5425.448252284824,0.7764453543953799,1479.3343873223046,60.283018867924525,2,Conservative/Flat Traders
0x8477e447846c758f5a675856001ea72298fd9cb5,255.01709500578033,3377.510865176365,86.58381502890174,0.3069637023747208,842.0812807801027,0.42013725275580993,260.17242769406835,56.895953757225435,2,Conservative/Flat Traders
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,1664.3388225396825,2699.7502304400487,243.12698412698413,0.2726919488723159,1275.3093764759874,0.7121970049739899,239.35286305997496,55.65079365079365,2,Conservative/Flat Traders
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,4311.814927928572,8823.831531679414,36.285714285714285,0.27960085891120373,2987.6852869948016,0.6489705696602248,30.808830860919,44.642857142857146,2,Conservative/Flat Traders
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,1145.2016712105262,2068.209775067974,27.36842105263158,0.33133620686175985,19839.54606270206,0.6085134171983905,14872.70744601022,46.31578947368421,1,Conservative/Flat Traders
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,8003.617357054902,39559.63013402311,57.490196078431374,0.2825721951363348,4499.549052144857,0.4920628891491498,1511.0992280487812,57.23137254901961,2,Conservative/Flat Traders
0xbaaaf6571ab7d571043ff1e313a9609a10637864,34820.812811111115,75886.06132069965,784.8518518518518,0.4354627474078414,4695.936992428973,0.5442186587802579,35.08565447546446,33.96296296296296,0,Consistent Performers
